user_id,workspace_id,email,signup_date,account_tier,user_role,industry,team_size,signup_source,country,is_active,last_login_date
u_0,ws_965,johnsonjoshua@example.org,2024-09-02,starter,admin,tech,8,sales,USA,True,2025-12-31
u_1,ws_1977,jillrhodes@example.net,2025-12-16,free,admin,marketing,24,referral,USA,True,2025-12-31
u_2,ws_1478,garzaanthony@example.org,2025-10-12,enterprise,owner,tech,41,paid_search,USA,True,2025-12-31
u_3,ws_313,jesseguzman@example.net,2024-07-02,free,member,finance,17,organic,UK,True,2025-12-31
u_4,ws_2433,jennifermiles@example.com,2024-08-17,starter,admin,tech,39,referral,USA,True,2025-12-31
u_5,ws_1079,shaneramirez@example.org,2024-07-21,professional,admin,education,26,paid_search,Australia,True,2025-12-31
u_6,ws_1080,helenpeterson@example.org,2025-07-15,free,guest,tech,10,organic,France,False,2025-10-05
u_7,ws_599,susanrogers@example.org,2025-05-28,starter,admin,marketing,39,referral,Germany,True,2025-12-31
u_8,ws_1957,wdavis@example.net,2025-08-28,starter,admin,marketing,33,sales,USA,True,2025-12-31
u_9,ws_768,lindsay78@example.org,2025-04-11,professional,member,marketing,25,organic,Australia,True,2025-12-31
u_10,ws_87,smiller@example.net,2024-11-19,professional,admin,healthcare,30,organic,Canada,True,2025-12-31
u_11,ws_1309,barbara10@example.net,2025-01-16,free,member,marketing,15,sales,USA,False,2025-03-26
u_12,ws_1886,kendragalloway@example.org,2024-11-06,enterprise,guest,tech,30,paid_search,USA,True,2025-12-31
u_13,ws_705,jamesshawn@example.com,2024-12-01,starter,member,education,29,referral,Germany,True,2025-12-31
u_14,ws_1186,mitchellclark@example.com,2025-06-24,professional,admin,marketing,46,sales,USA,False,2025-08-02
u_15,ws_1308,lynchgeorge@example.net,2025-01-21,free,guest,marketing,1,referral,Canada,False,2025-02-04
u_16,ws_425,frankgray@example.net,2025-02-19,starter,owner,education,11,paid_search,USA,True,2025-12-31
u_17,ws_105,gabriellecameron@example.org,2024-05-09,professional,guest,finance,46,referral,Germany,False,2024-07-19
u_18,ws_801,lydiatrujillo@example.com,2024-04-19,enterprise,owner,healthcare,46,referral,USA,True,2025-12-31
u_19,ws_2403,carl95@example.org,2024-06-16,professional,admin,marketing,31,sales,USA,False,2024-07-08
u_20,ws_873,pfoster@example.com,2024-10-25,free,admin,tech,17,referral,USA,False,2024-12-12
u_21,ws_783,josephwright@example.net,2025-01-05,free,owner,tech,15,organic,France,False,2025-02-11
u_22,ws_191,julie69@example.com,2025-12-30,starter,owner,education,6,organic,Australia,True,2025-12-31
u_23,ws_797,jeffrey28@example.com,2024-08-26,free,guest,tech,1,sales,USA,False,2024-11-08
u_24,ws_1667,camposmichelle@example.org,2024-02-06,professional,admin,finance,28,organic,Canada,True,2025-12-31
u_25,ws_1490,laurahenderson@example.org,2024-07-19,free,owner,tech,10,paid_search,USA,False,2024-07-29
u_26,ws_596,djames@example.net,2025-01-27,free,owner,tech,11,organic,USA,True,2025-12-31
u_27,ws_1640,tasha01@example.net,2025-05-20,professional,member,marketing,31,sales,France,True,2025-12-31
u_28,ws_235,kayla51@example.com,2024-10-07,starter,member,marketing,26,organic,Germany,False,2024-11-10
u_29,ws_2107,amoore@example.net,2024-08-12,free,admin,finance,12,organic,USA,False,2024-09-12
u_30,ws_1465,teresa28@example.org,2024-01-14,professional,admin,marketing,43,sales,USA,False,2024-01-22
u_31,ws_1051,meagan89@example.org,2025-12-08,professional,guest,tech,30,referral,France,True,2025-12-31
u_32,ws_2151,nathanielmartin@example.net,2025-03-01,free,admin,marketing,39,referral,Australia,False,2025-03-11
u_33,ws_2001,georgetracy@example.org,2024-10-03,free,guest,education,1,paid_search,Germany,False,2024-12-03
u_34,ws_2152,natasha43@example.org,2025-06-29,enterprise,admin,tech,26,referral,USA,True,2025-12-31
u_35,ws_2364,nataliearroyo@example.org,2024-09-22,free,owner,education,19,sales,France,False,2024-09-23
u_36,ws_782,wcabrera@example.net,2025-06-23,enterprise,member,healthcare,22,organic,USA,True,2025-12-31
u_37,ws_1833,davidalvarez@example.net,2024-04-08,professional,owner,finance,43,referral,USA,True,2025-12-31
u_38,ws_521,josephbrennan@example.com,2025-06-03,professional,owner,tech,25,paid_search,Australia,True,2025-12-31
