user_id,workspace_id,email,signup_date,account_tier,user_role,industry,team_size,signup_source,country,is_active,last_login_date
U000001,WS000457,johnsonjoshua@example.org,2024-04-12,starter,member,marketing,5,organic,Australia,False,2024-06-29
U000002,WS000103,jillrhodes@example.net,2024-04-09,free,guest,healthcare,50,organic,Germany,False,2025-02-18
U000003,WS001127,garzaanthony@example.org,2024-10-03,starter,member,tech,10,organic,Germany,False,2025-06-19
U000004,WS001004,jesseguzman@example.net,2025-11-30,free,member,healthcare,10,paid_search,Canada,True,2025-12-25
U000005,WS000915,jennifermiles@example.com,2025-04-29,starter,owner,tech,100,referral,US,False,2025-10-19
U000006,WS000572,shaneramirez@example.org,2024-12-11,free,owner,retail,5,organic,Germany,False,2025-09-07
U000007,WS000420,helenpeterson@example.org,2024-01-02,free,guest,marketing,10,organic,Germany,False,2025-04-29
U000008,WS002234,susanrogers@example.org,2024-09-26,starter,member,retail,5,organic,UK,False,2025-05-05
U000009,WS000357,wdavis@example.net,2024-02-22,free,member,tech,5,organic,US,False,2024-09-03
U000010,WS002419,lindsay78@example.org,2025-06-04,starter,member,tech,25,referral,Canada,False,2025-08-12
U000011,WS001729,smiller@example.net,2025-05-04,free,member,healthcare,5,organic,Australia,False,2025-09-22
U000012,WS000131,barbara10@example.net,2024-04-08,free,member,education,100,referral,Australia,False,2024-05-19
U000013,WS000123,kendragalloway@example.org,2024-08-05,free,member,marketing,5,organic,US,False,2025-05-21
U000014,WS000384,jamesshawn@example.com,2025-07-17,free,admin,education,10,organic,Australia,True,2025-12-27
U000015,WS000896,mitchellclark@example.com,2024-06-08,free,guest,education,5,organic,Germany,False,2025-03-25
U000016,WS000953,lynchgeorge@example.net,2024-01-28,free,member,healthcare,5,sales,US,False,2024-12-30
U000017,WS002070,frankgray@example.net,2025-01-11,starter,member,retail,10,paid_search,Australia,False,2025-09-07
U000018,WS002466,gabriellecameron@example.org,2024-08-12,free,member,tech,10,organic,UK,False,2025-06-29
U000019,WS000109,lydiatrujillo@example.com,2025-07-17,free,member,tech,250,organic,UK,True,2025-12-29
U000020,WS002299,carl95@example.org,2025-10-03,free,guest,finance,10,paid_search,UK,False,2025-11-10
U000021,WS000815,pfoster@example.com,2025-11-02,free,member,finance,5,referral,Australia,True,2025-12-25
U000022,WS002233,josephwright@example.net,2025-09-01,starter,admin,finance,5,organic,Germany,True,2025-12-31
U000023,WS001719,julie69@example.com,2025-02-06,starter,member,healthcare,50,organic,UK,True,2025-12-28
U000024,WS000903,jeffrey28@example.com,2025-10-02,starter,guest,retail,10,organic,UK,True,2025-12-30
U000025,WS001840,camposmichelle@example.org,2025-09-15,free,guest,retail,50,sales,Canada,True,2025-12-30
U000026,WS002414,laurahenderson@example.org,2024-01-09,free,member,retail,25,paid_search,Canada,False,2024-08-10
U000027,WS001140,djames@example.net,2025-09-16,free,member,retail,50,sales,UK,True,2025-12-28
U000028,WS000027,tasha01@example.net,2024-12-03,free,admin,healthcare,5,organic,Germany,False,2025-05-27
U000029,WS000654,kayla51@example.com,2025-05-18,starter,member,healthcare,10,paid_search,Australia,True,2025-12-31
U000030,WS001732,amoore@example.net,2025-07-16,professional,member,tech,10,paid_search,Australia,True,2025-12-30
U000031,WS001394,teresa28@example.org,2025-10-20,free,guest,retail,100,sales,Canada,True,2025-12-31
U000032,WS001139,meagan89@example.org,2024-02-06,professional,member,healthcare,50,organic,Australia,False,2024-08-11
U000033,WS000637,nathanielmartin@example.net,2024-06-09,free,member,retail,10,paid_search,UK,False,2025-03-23
U000034,WS000882,georgetracy@example.org,2024-10-14,starter,member,marketing,5,referral,US,False,2025-02-24
U000035,WS001379,natasha43@example.org,2024-09-02,free,member,marketing,50,sales,UK,False,2025-05-13
U000036,WS000419,nataliearroyo@example.org,2024-02-05,starter,member,retail,50,organic,Germany,False,2025-07-07
U000037,WS000380,wcabrera@example.net,2024-12-19,free,member,retail,5,paid_search,US,False,2025-02-14
U000038,WS001557,davidalvarez@example.net,2025-11-22,free,admin,tech,25,organic,Germany,True,2025-12-29
U000039,WS000397,josephbrennan@example.com,2024-01-05,free,member,healthcare,5,sales,UK,False,2024-12-26
U000040,WS001471,sarahcampos@example.net,2025-10-31,free,member,marketing,5,sales,US,True,2025-12-29
U000041,WS001409,jenniferross@example.net,2025-10-02,free,admin,retail,25,paid_search,Australia,False,2025-11-11
U000042,WS002473,samuel87@example.org,2024-09-28,free,member,finance,5,organic,Australia,False,2024-12-12
U000043,WS001084,jeffreymorgan@example.net,2024-03-26,free,owner,retail,50,referral,Germany,False,2024-06-09
U000044,WS000178,briannasmith@example.net,2024-08-05,starter,admin,retail,10,organic,Australia,True,2025-12-28
U000045,WS001882,perezrebecca@example.com,2024-04-09,free,guest,tech,10,paid_search,UK,False,2024-12-21
U000046,WS002197,palmerjoshua@example.com,2025-05-11,professional,member,marketing,10,organic,Australia,True,2025-12-28
U000047,WS000512,ambercummings@example.net,2025-11-21,starter,guest,marketing,5,organic,Germany,True,2025-12-31
U000048,WS001551,esanchez@example.com,2025-08-29,free,member,marketing,5,referral,UK,False,2025-10-09
U000049,WS000323,clintonhopkins@example.com,2025-02-21,free,member,education,50,organic,US,False,2025-04-26
U000050,WS002262,ujenkins@example.org,2024-10-03,professional,member,finance,250,paid_search,UK,True,2025-12-27
U000051,WS001201,brownjessica@example.org,2024-04-05,free,admin,education,25,organic,US,False,2024-05-18
